"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-03-18T15:08:54.000Z","text",":)","","","425","27","86"
"2024-03-18T15:07:04.000Z","text","If you want to know more I just did a podcast to talk about it :)","","","1.2K","114","195"
"2024-03-18T15:04:17.000Z","text","For real","","","970","27","91"
"2024-03-18T15:02:47.000Z","text","Big news gamers I’m going to be filming the largest game show in history and releasing it on Prime Video! Over 1,000 contestants, $5,000,000 prize, and many other world records.. I’ll reveal more later this year but let’s just say, it’s gonna be an insane show :D","","","18K","1.6K","2.6K"
"2024-03-18T14:20:08.000Z","text","Me and Elon totally went on Joe Rogan to discuss this gambling app! The robotic voices are just because he dropped the mics on the way to the studio that day","","","4.3K","148","234"
"2024-03-18T03:48:05.000Z","text","Not enough","","","10K","214","448"
"2024-03-17T15:35:06.000Z","text","Thank you 🥰","","","10K","118","205"
"2024-03-17T15:31:24.000Z","text","🎉","","","497","21","68"
"2024-03-17T15:29:37.000Z","text","The good ole days","","","50K","597","550"
"2024-03-16T23:26:06.000Z","text","I’m in this!","","","6.1K","135","333"
"2024-03-16T17:35:19.000Z","text","Can’t wait for Tuck to be old enough to play board games with me all day","","","41K","638","483"
"2024-03-16T16:33:59.000Z","text",":D","","","4.2K","95","182"
"2024-03-16T16:02:57.000Z","image","I gave someone a Lamborghini but they had to catch it from a 100 foot drop, stop a train from hitting it, protect it from navy seals, etc 

You def want to watch this one","","https://pbs.twimg.com/media/GIzc3-QXwAAOIYu?format=jpg&name=900x900","76K","3.7K","4.9K"
"2024-03-15T00:23:44.000Z","text","Now if you want to mortgage your home and bet your net worth on black in roulette… that I support","","","49K","1.9K","2.2K"
"2024-03-15T00:17:24.000Z","text","It’s painful to see people quit their job/drop out of school to make content full time before they’re ready. For every person like me that makes it, thousands don’t. Keep that in mind and be smart plz","","","207K","12K","5.5K"
"2024-03-13T15:38:06.000Z","text","Fun fact, the stores on the border sold out first. People would buy every bar in every Walmart/Target in a city and then drive into Mexico or Canada and resell them 😅

Once I catch up to USA demand I’ll prio launching Mexico/Canada so they stop draining stores here","","","20K","689","1.2K"
"2024-03-13T15:36:05.000Z","text","Feastables is basically sold out at the moment (around 20% of stores still have some) I’m doing everything I can to get some more chocolate factories up and running! Sorry for not being able to buy it right now :/","","","52K","2.1K","3.5K"
"2024-03-10T06:52:46.000Z","text","He should change his name before he gets sued","","","40K","729","851"
"2024-03-08T04:07:24.000Z","text","Just getting my practice in 🥰","","","10K","171","340"
"2024-03-07T08:31:12.000Z","text","Wow, we’re still filming this and my god this might be the greatest video ever uploaded to YouTube.. we went all out on this one","","","34K","1K","2.1K"
"2024-03-05T21:15:42.000Z","text","I just realized we have 300+ cameras recording for this video we’re filming, I think that might be a world record lol","","","107K","3.8K","5.5K"
"2024-03-04T19:03:06.000Z","text","These types of posts really make me sad and I’d appreciate it if everyone could just be a little nicer towards Kris","","","9.6K","1.2K","221"
"2024-03-04T18:23:48.000Z","text","My overlords that control me","","","10K","170","402"
"2024-03-04T18:22:38.000Z","text","Yeah I was supposed to tweet this a while ago and just randomly remembered lol","","","21K","150","305"
"2024-03-04T18:18:57.000Z","image","YouTube sent us this 200,000,000 subscriber award 🥰","","https://pbs.twimg.com/media/GH2I7CCXwAAc9Jw?format=jpg&name=small","457K","22K","16K"
"2024-03-04T16:03:21.000Z","text","Not surprised. This show is amazing and when I saw the new episode was filler it actually made me depressed for a few minutes","","","61K","1.5K","1K"
"2024-03-04T07:09:21.000Z","text","First I sold my channel to Disney and now Pelosi has control over me? The conspiracies are wild recently 😂

No idea who this dude is/no agency tells me what I can or can’t say. For the record I don’t think she/others should be able to trade stock while knowing classified…","","","33K","923","1.1K"
"2024-03-04T06:52:55.000Z","text","Disney does not own any part of my channel.","","","91K","1.7K","1.7K"
"2024-03-03T14:14:51.000Z","text","This past year i’ve slowed down our videos, focused on story telling, let scenes breathe, yelled less, more personality, longer videos, etc. And our views have skyrocketed! 

My fellow YouTubers lets get rid of the ultra fast paced/overstim era of content. It doesn’t even work 💀","","","207K","10K","9.3K"
"2024-03-02T18:29:10.000Z","text","Thank you!","","","4.9K","125","469"
"2024-03-02T13:00:01.000Z","text","Glad you found some! ❤️","","","1.9K","76","412"
"2024-02-29T12:06:23.000Z","text","We’re working hard on getting more to stores! Should be available again soon","","","377","32","217"
"2024-02-22T22:37:06.000Z","text","That’s awesome","","","10K","104","286"
"2024-02-22T21:23:01.000Z","text","It’s phenomenal 👌🏻","","","4.7K","123","302"
"2024-02-22T02:10:07.000Z","text","😎","","","2.6K","82","391"
"2024-02-22T00:17:03.000Z","text","I’m sorry you had to ruin your lunch like that, dm me your address and I’ll have someone fly to you and give you some bars ❤️","","","28K","440","860"
"2024-02-22T00:11:33.000Z","text","Glad you could get some!","","","2.6K","70","318"
"2024-02-20T23:56:51.000Z","text","NO","","","544","21","109"
"2024-02-20T18:09:07.000Z","text","The reason I’m doing all this investigation is I had tons of Feastables promo planned but I don’t want to send people to stores if shelves are empty. Don’t want to waste people’s time, after 4 days of restocking shelves I’ve concluded I should chill on the promo for a bit to not…","","","12K","895","2K"
"2024-02-20T17:58:22.000Z","image","If you run a business you’d find this interesting. A store forgot to put out our 35g milk chocolate bar and on the 16th I put the box from the back of store to checkout (where it was supposed to be) and look at our sales the following days at that checkout lane lol","","https://pbs.twimg.com/media/GGzHi8QW4AAaovf?format=jpg&name=small","11K","957","1.8K"
