"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-03-18T21:02:22.000Z","text","Join me for the  Southern California Blockchain Conference this week.

I will be doing a fireside chat on Wednesday 3/20 to talk about crypto, RWO, and the future of the internet.

More info:","","","58","11","7"
"2024-03-15T16:34:18.000Z","text","Thanks  for hosting me at Upfront Summit to talk about Read Write Own, how we invest for the long term, my vision for NFTs, and more -- it was a great conversation.","","","95","14","15"
"2024-03-14T20:29:36.000Z","text","None of the above should be taken as investment advice or an advertisement for investment services; please see  for more information.","","","7","","2"
"2024-03-14T20:29:20.000Z","text","Great to chat with  and the  team while in London last month.

Here’s a recap of our conversation on crypto, open source, & the future of the internet.","","","79","18","5"
"2024-03-11T23:17:46.000Z","text","Come see me talk with  about Read Write Own & the future of the internet at  in SF on March 19th. 

I'm also signing books there.

More info & tickets:

All proceeds (aside from optional book purchase) will go to the non-profit Club.","","","117","28","14"
"2024-03-08T15:16:54.000Z","text","Thank you!","","","2","","2"
"2024-02-16T21:37:17.000Z","text","","","","14","1","1"
"2024-02-16T21:36:38.000Z","text","","","","14","","4"
"2024-02-16T21:36:22.000Z","text","","","","4","","2"
"2024-02-16T20:48:16.000Z","text","","","","7","","1"
"2024-02-16T20:47:19.000Z","text","","","","9","1","1"
"2024-02-16T20:47:02.000Z","text","","","","6","","1"
"2024-02-16T20:46:48.000Z","text","","","","6","","1"
"2024-02-16T20:46:36.000Z","text","Some of my favorite mentions from the Farcaster community:","","","7","1","2"
"2024-02-13T18:30:57.000Z","image","5+ billion people live & work on the internet. Only a handful of companies own & control it.

READ WRITE OWN by @cdixon is a powerful new book about this core technology—a manifesto for reclaiming the internet from Big Tech.

Here are 10 world-disrupting ideas from this…","","https://pbs.twimg.com/media/GFlxHasbsAQoRZt?format=jpg&name=medium","21","2","4"
"2024-02-13T18:30:56.000Z","image","“Read Write Own by Chris Dixon”

Informative, optimistic, and written with such clarity. This book aims to give us an appreciation for the essence of blockchain technology, provides a vision for a better internet and some promising applications.

12 insights from the book 🧵","","https://pbs.twimg.com/media/GFxwqFqWsAA2B3c?format=jpg&name=medium","42","3","4"
"2024-02-07T23:09:12.000Z","text","Read Write Own is #9 on the New York Times Nonfiction Best Seller list, and #25 on USA Today's Best-selling Booklist (which includes both fiction and nonfiction).

Thanks to everyone who bought the book. I wrote RWO to help more people appreciate the potential of blockchains for…","","","1K","108","101"
"2024-02-07T17:06:28.000Z","text","If you're in the Bay Area, come see me talk with  about Read Write Own & the future of the internet at  on Feb 12th.  I'll be signing books, too.

Info & tix:

All proceeds (aside from optional book purchase) will go to the non-profit Club.","","","134","27","12"
"2024-02-07T16:55:38.000Z","text","Sorry about the hassle and hope you like the book! :)","","","4","","2"
"2024-02-02T19:38:54.000Z","text","Sorry, fixed :)","","","5","","1"
"2024-02-02T16:40:44.000Z","text","Really enjoyed chatting with  for the  podcast - I appreciated her in-depth questions about the book and about blockchain and the future of the internet more broadly.","","","142","24","12"
"2024-02-01T18:10:16.000Z","text","Our book launch week continues -- the U.K. edition of Read Write Own is available starting today.

It’s been exciting to see all the positive energy at our U.S. launch events so far.

Interest in crypto and blockchains continues to build around the world, so we’ll continue…","","","224","32","29"
"2024-02-01T14:37:47.000Z","text","I'm a big fan of  and "How I Write" so I was excited to go on the show. It turned out to be a really fun discussion about books, blogging, career development, the writing process, and other topics.","","","218","26","17"
"2024-01-31T18:00:42.000Z","text","I’m doing an AMA on Farcaster, starting now:","","","167","14","6"
"2024-01-31T03:04:03.000Z","text","Nice. Hope you enjoy the read!","","","1","","1"
"2024-01-31T01:59:01.000Z","text","Thank you, Derek!","","","","","1"
"2024-01-31T01:47:48.000Z","text","Thanks, Marek!","","","1","","1"
"2024-01-31T01:07:36.000Z","text","I interviewed  a few years ago on the  podcast for his book How The Internet Happened, and enjoyed catching up again to talk about the internet’s future on .","","","114","17","7"
"2024-01-30T20:54:20.000Z","text","Thanks for the support, Steve.

And congrats on your recent launch as well.","","","7","","2"
"2024-01-30T19:14:11.000Z","text","Thank you, Katie!","","","5","",""
"2024-01-30T19:02:34.000Z","video",". was invaluable as an editor and thought partner on Read Write Own.

I spoke with him about the book writing process and more on the latest  podcast episode.""This book is the best possible condensation of what I’ve learned over 20 years.""

@cdixon sat down to discuss the behind-the-scenes making of Read Write Own with his editor on the book @rhhackett.

Check out the full video below.","","https://pbs.twimg.com/media/GFG80d4bkAAw9w_.jpg","142","13","6"
"2024-01-30T18:36:35.000Z","text","Thank you for the review, Byron.

Really glad you enjoyed the book.","","","2","",""
"2024-01-30T18:24:01.000Z","text","Thank you, Nisa.","","","","","1"
"2024-01-30T16:38:27.000Z","text","thank you, Connie!","","","1","",""
"2024-01-30T16:01:26.000Z","text","Thank you, Andrew.","","","2","",""
"2024-01-30T15:58:27.000Z","text","Thanks, David!","","","1","",""
"2024-01-30T14:26:51.000Z","text","Order Read Write Own here:","","","171","15","15"
"2024-01-30T14:10:16.000Z","video","My new book is finally here -- published today in the U.S.! 🟧

I hope you pick it up, share it, debate it with me.

Looking forward to your feedback.

More editions in more languages coming soon.","","https://pbs.twimg.com/media/GFGKG93bsAAGiw8.png","2.2K","523","309"
"2024-01-30T04:52:28.000Z","text","Thanks for the share and the kind words, Nass.","","","3","",""
"2024-01-30T03:15:15.000Z","text","Thank you, Dante.","","","1","",""
"2024-01-30T00:34:39.000Z","text","Thank you, Jesse.

I hope the team enjoys the read.","","","8","",""
"2024-01-30T00:33:49.000Z","text","Thank you for the support, Jeremy.

Much appreciated.","","","5","","3"
"2024-01-29T21:23:08.000Z","image","Excited for tomorrow’s book launch. 🙂","","https://pbs.twimg.com/media/GFCjScxbEAAmNjn?format=jpg&name=medium","1.8K","119","154"
"2024-01-29T18:47:09.000Z","text","Thanks for your support.

Hope you enjoy the book. 🙂","","","","",""
"2024-01-28T03:01:20.000Z","video","Great catching up with  to talk Read Write Own, which comes out Tuesday.

We talk tech, crypto, and the future of the internet.What's the single best intro to crypto in 2024?
Read Write Own by Chris Dixon.
Start with the one minute trailer below.
Then get the one hour summary of the book.
Full episode is here: http://youtu.be/_nIQztk5KWY","","","365","54","34"
"2024-01-25T21:24:50.000Z","text","Hey, New Yorkers:

I'll be doing an interview with the  podcast on Jan 31st in the Meatpacking District, if you want to come meet me in person and get a signed copy of Read Write Own.

Thanks  for hosting us!

Get more details and tickets here; all…","","","177","28","17"
"2024-01-23T19:02:03.000Z","image","Connie has had a hugely positive impact on a16z. I got the privilege of  working with her for a number of years and learned a lot. She’ll be missed, but I’m excited to see what she does next.12 yrs ago, this brought me to a16z, transforming my life. Along the way:

▫️ I introduced new tech ideas from East to West
▫️ Was promoted to GP, breaking the firm’s rule of no GP promos
▫️ Invested in bold founders

It’s been a great ride, yet it’s time for a new beginning…","","https://pbs.twimg.com/media/GEgiZKfaEAApHd9?format=png&name=900x900","78","3","6"
"2024-01-20T14:44:39.000Z","text","Thank you, Alexis 🙏My friend @cdixon has a book on the way and I can't wait to read it! Fill your brain 👇 https://readwriteown.com","","","45","1","9"
"2024-01-18T18:14:37.000Z","text","Sure, timelines in tech are hard to predict. I also thought AI would come sooner.","","","7","",""
"2024-01-18T18:10:59.000Z","text","I use Farcaster all the time. The community is far better than on Twitter.","","","3","1","2"
"2024-01-17T17:02:27.000Z","image","For anyone who pre-orders Read Write Own: you are invited to a live discussion between me and , author of 13 books and a writer I really admire, on Jan 24th. We’ll discuss the future of the internet and much more.

If you already pre-ordered, you’re invited as well…","","https://pbs.twimg.com/media/GEDy43MXoAAWTYM?format=jpg&name=medium","184","27","22"
"2024-01-16T22:39:52.000Z","image","""Accessible for crypto newbies but also great food for thought for people who have been working in the space for years.""

Thanks, Rene! :)Read Write Own by @cdixon is my new favourite book to give to people!

Accessible for crypto newbies but also great food for thought for people who have been working in the space for years. Not an easy balance to get right - Chris nails it.

Pre-order your copy here…","","https://pbs.twimg.com/media/GD-ZZSzXoAAXSIG?format=jpg&name=medium","114","14","11"
"2024-01-16T20:55:36.000Z","text","Thanks, Howard! :)","","","3","",""
"2024-01-16T15:38:08.000Z","text","One of my favorite NYC bookstores  will ship you a signed copy of my upcoming book Read Write Own if you pre-order from this link. There’s a limited number, so don’t wait 🙂

","","","131","22","27"
"2024-01-11T17:39:28.000Z","image","Whoops, that image was missing Part 4. :) Here's the correct one.

Pre-order link: ","","https://pbs.twimg.com/media/GDlDTa_WEAAumEM?format=jpg&name=medium","31","3","8"
"2024-01-11T16:57:40.000Z","image","I’m attaching the table of contents of Read Write Own below. I always like to scan through the table of contents of nonfiction books to see what, if anything, interests me, so I thought people considering the book might want to do the same. The best way to read it is end-to-end,…","","https://pbs.twimg.com/media/GDkrs5LW8AA0UgS?format=jpg&name=medium","607","77","50"
"2024-01-09T22:16:46.000Z","text","Thanks for your support !I first met with @cdixon six years ago when I was interviewing for my role at @coinbase. He is one of the brightest, most thoughtful investors in any space, period, let alone crypto. I remember him teaching me the analogies of Netscape (“Don’t have hubris about where you think…","","","69","2","4"
"2024-01-08T15:43:28.000Z","text","I caught up with  last month and he was kind enough to take the time to read my book and write about it today.



As I’m sure you know, Fred and his partners at USV have been consistently ahead of the curve on internet trends since the early…","","","455","57","30"
"2024-01-03T20:21:03.000Z","text","Thank you, Kayvon.

I’m hoping the book can be useful to founders like Kayvon who can share it with employees, partners, and friends to help explain why they are excited about the space.I was fortunate enough to receive an advance copy of Read Write Own in November, which I devoured over the holiday.

web3 coverage is dominated by headlines on token prices. Token prices miss the forest for the trees.

Read Write Own tells a very different story. x.com/cdixon/status/…","","","99","4","12"
"2024-01-03T16:19:43.000Z","text","Should be same date (1/30)","","","24","1","2"
"2024-01-03T15:53:22.000Z","text","I started working on Read Write Own in October 2022, and I’m excited that it’s finally coming out in a few weeks, on January 30.

I wrote Read Write Own because I felt we needed a book that explains the full potential of blockchains and tokens, and how these technologies can…","","","1.4K","274","171"
